"Year","Growth","CPI","Imports","Exports","Population","GDP_boxcox"
1980,-4.47863884794948,36.7816091954023,41.0807828634967,25.2215452197355,2279821,40.643633646753
1981,-1.54446566470149,36.7693486590038,34.059743898938,24.3834499934688,2346797,40.1701508132217
1982,7.71578363090393,41.6582375478926,34.2245066020111,22.1777521315576,2418844,40.4255386448826
1983,-8.12651359274568,47.7455938697317,36.6162611098767,24.1489993098706,2493135,39.987068894047
1984,9.48172665292533,48.95938697318,35.5016773850403,23.3939942580609,2565803,39.8770099372599
1985,3.92721953798056,54.062835249042,31.6359752409631,22.0085189617676,2634232,40.9270770868232
1986,3.57797925430461,55.2766283524903,28.6226318484383,18.1864262428373,2696982,41.8410950229282
1987,-4.93898788502545,51.4145593869731,28.5502933989394,17.8441411639543,2755244,42.0813126535211
1988,1.71016528472386,49.3762452107281,25.0538821705756,17.7447524605306,2812244,42.2656711248535
1989,1.97727043451945,49.7164750957856,26.4631612106678,20.3038863512806,2872668,42.1774530416126
1990,-2.14752806574087,49.7103448275862,25.8755146524582,17.0674688659163,2939780,42.7310206619741
1991,-0.552543005101867,48.337164750958,26.1226506625627,17.5866710245595,3014624,42.5698538149227
1992,-6.42407819946331,47.8375478927202,26.3633760833559,16.8656999970566,3095807,42.6585939753557
1993,0.335275684646064,46.4429118773948,22.8890674752764,17.0995545466345,3181222,42.3045578065755
1994,4.89994941000114,57.8544061302683,25.0186213434453,23.3994108884074,3267670,40.8716299248894
1995,7.20004555751903,68.9563218390805,28.2549461602709,22.2209449568474,3352767,41.8193710449019
1996,-4.00009296364789,71.5249042145593,25.6140187532248,21.4703862760844,3435821,41.4619203540353
1997,5.29993601826074,72.6773946360155,28.9342280996326,26.8842802618525,3517309,41.2093998176282
1998,4.70014237879329,71.3072796934867,28.3926453039603,22.6568865727558,3597385,41.3181848963427
1999,3.59997490432274,70.2988505747126,23.9886936193025,19.2236502785935,3676508,41.432828604017
2000,-2.48943244028874,72.5508045977011,25.2875684031294,20.3722135905975,3754986,41.1216905553825
2001,4.46473902640867,75.3330268199234,22.5732458997066,17.1572538375263,3832203,41.1872983722699
2002,3.61654219150596,77.0896551724138,20.1458598429982,15.96270493648,3907612,41.4043017711099
2003,-5.39748521855877,80.2770881226054,17.9952221645791,18.2360038377682,3981665,41.8957992106533
2004,5.99488422798696,78.6182375478927,19.2460374099972,13.997917508823,4055036,42.2802308580875
2005,0.908210514871953,80.8852107279694,21.7081835399254,13.3627533256972,4127910,42.4644090935589
2006,4.77108543044105,86.3006896551724,22.0798650802068,14.3160051485309,4201758,42.7801623613342
2007,4.60753485452025,87.1019157088123,23.4655715983662,14.1153274204234,4275800,43.3228883759346
2008,2.05413096200485,95.1785440613027,23.4338571075068,11.0036647020449,4345386,43.8931631097997
2009,1.70923921998059,98.5287356321839,23.2356028285423,10.6844171554918,4404230,43.8866893803664
2010,3.04663473280731,100,26.5097891580964,11.807253900865,4448525,43.894591569177
2011,3.30071915650572,101.300569968547,22.027568726358,11.5148321137729,4476153,44.2629261071083
2012,4.11279786850471,107.147892720307,21.7820986662381,11.6491558137897,4490416,44.2192542909816
2013,-36.6999524381893,108.757088122605,25.0049351134049,14.4514889527506,4499653,42.9202476659422
2014,1.04001804711078,136.253936781609,37.5625159898757,13.0300890088237,4515392,43.3342626562315
2015,4.79988608115663,186.861666666667,34.5786994354794,12.6119227541944,4546100,43.0718592916582
